Issue Type,Issue key,Issue id,Parent id,Assignee,Status,Custom field (Planned Prod Deployment),Resolution,Updated,Due Date,Custom field (CMS Product Name),Custom field (Vulnerability Title),Custom field (Asset Names),Custom field (Service Port),Summary,Custom field (Vulnerability Proof),Custom field (Proof),Custom field (Package Details Dynamic),Custom field (Misconfiguration Description),Custom field (Misconfiguration Solution)
Vulnerability item,GCPSCC-3979460,1546956,6998726.0,usr8c027,In Progress,,,16/Apr/2026 5:50 AM,05/Jun/2024 12:00 AM,,,,,SERVICE_ACCOUNT_KEY_NOT_ROTATED,,,,"User-managed service account keys should be rotated every 90 days to ensure that data cannot be accessed with an old key which might have been lost, cracked, or 2b2ec065.internal Tags: environment:production,productlineid:0001996383,supportgroupid:0001997404,applicationid:aid019,costcenter:0001_b1-50318,segregationarea:red","Go to https://9d0815de.internal/iam-admin/serviceaccounts/details/108972294176883769328?project=dbg-statistix-prod-587742a4 to manage keys. Create a new key, replace existing key in applications and then delete the obsolete key."
Vulnerability item,PT-4208400,6738698,7787515.0,usr71f22,In Progress,,,16/Apr/2026 6:22 AM,15/Jul/2024 12:00 AM,,,,,192519n59-1-03,,,,,
Vulnerability item,PT-2311650,7130531,7787515.0,usr71f22,In Progress,,,16/Apr/2026 6:22 AM,11/Jan/2025 12:00 AM,,,,,192519n59-1-01,,,,,
Vulnerability item,PT-8512017,7376839,7787515.0,usr71f22,In Progress,,,16/Apr/2026 6:22 AM,15/Jul/2024 12:00 AM,,,,,192519n59-1-02,,,,,
Vulnerability item,GCPSCC-7152067,2110560,6998726.0,usr8c027,In Progress,,,16/Apr/2026 5:47 AM,05/Jun/2024 12:00 AM,,,,,USER_MANAGED_SERVICE_ACCOUNT_KEY,,,,"Service accounts should not have user-managed keys because they can be easily leaked. Learn more at https://aff9c55d.internal/iam/docs/understanding-service-accounts#managing_service_account_keysProject Tags: environment:production,productlineid:0001996383,supportgroupid:0001997404,applicationid:aid019,costcenter:0001_b1-50318,segregationarea:red",Go to https://9d0815de.internal/iam-admin/serviceaccounts/details/108972294176883769328?project=dbg-statistix-prod-587742a4 to manage keys. Delete user-managed service account keys if they are not used by any application.
Vulnerability item,NXP-8949926,7512139,859597.0,usr8c027,Risk Covered,,Resolved,19/Apr/2026 12:19 AM,15/Apr/2025 12:00 AM,e018b5bc.internal,"Java CPU April 2024 Oracle Java SE, Oracle GraalVM Enterprise Edition vulnerability (CVE-2017-92784)",b8a0824d.internal,0,jre-vuln-CVE-2017-68001,"Vulnerable OS: Red Hat Enterprise Linux 8.10


Vulnerable software installed: Oracle JRE 1.8.0.91 (/stxbase/stxapp/oracle/client/product/12.2.0/client_1/jdk/jre/lib/rt.jar)",,,,
Vulnerability item,NXP-6634750,3714091,859597.0,usr8c027,Risk Covered,,Resolved,19/Apr/2026 12:19 AM,15/Apr/2025 12:00 AM,e018b5bc.internal,"Java CPU January 2017 Java SE, Java SE Embedded, JRockit RMI vulnerability (CVE-2009-90190)",b8a0824d.internal,0,jre-vuln-CVE-2009-81041,"Vulnerable OS: Red Hat Enterprise Linux 8.10


Vulnerable software installed: Oracle JRE 1.8.0.91 (/stxbase/stxapp/oracle/client/product/12.2.0/client_1/jdk/jre/lib/rt.jar)",,,,
Vulnerability item,NXP-5754995,3478951,1166001.0,usr8c027,Risk Covered,,Resolved,19/Apr/2026 12:19 AM,15/Apr/2025 12:00 AM,13afc9e4.internal,"Java CPU April 2024 Oracle Java SE, Oracle GraalVM Enterprise Edition vulnerability (CVE-2017-92784)",5c186c59.internal,0,jre-vuln-CVE-2017-68001,"Vulnerable OS: Red Hat Enterprise Linux 8.10


Vulnerable software installed: Oracle JRE 1.8.0.91 (/stxbase/stxapp/oracle/client/product/12.2.0/client_1/jdk/jre/lib/rt.jar)",,,,
Vulnerability item,NXP-3448551,2433584,1166001.0,usr8c027,Risk Covered,,Resolved,19/Apr/2026 12:19 AM,15/Apr/2025 12:00 AM,13afc9e4.internal,"Java CPU January 2017 Java SE, Java SE Embedded, JRockit RMI vulnerability (CVE-2009-90190)",5c186c59.internal,0,jre-vuln-CVE-2009-81041,"Vulnerable OS: Red Hat Enterprise Linux 8.10


Vulnerable software installed: Oracle JRE 1.8.0.91 (/stxbase/stxapp/oracle/client/product/12.2.0/client_1/jdk/jre/lib/rt.jar)",,,,
Vulnerability item,NXP-3684206,2525886,8553144.0,usr8c027,Risk Covered,,Resolved,19/Apr/2026 12:19 AM,15/Apr/2025 12:00 AM,37b52a9a.internal,"Java CPU April 2024 Oracle Java SE, Oracle GraalVM Enterprise Edition vulnerability (CVE-2017-92784)",dda9fa61.internal,0,jre-vuln-CVE-2017-68001,"Vulnerable OS: Red Hat Enterprise Linux 8.10


Vulnerable software installed: Oracle JRE 1.8.0.91 (/stxbase/stxapp/oracle/client/product/12.2.0/client_1/jdk/jre/lib/rt.jar)",,,,
Vulnerability item,NXP-140508,1471548,8553144.0,usr8c027,Risk Covered,,Resolved,19/Apr/2026 12:19 AM,15/Apr/2025 12:00 AM,37b52a9a.internal,"Java CPU January 2017 Java SE, Java SE Embedded, JRockit RMI vulnerability (CVE-2009-90190)",dda9fa61.internal,0,jre-vuln-CVE-2009-81041,"Vulnerable OS: Red Hat Enterprise Linux 8.10


Vulnerable software installed: Oracle JRE 1.8.0.91 (/stxbase/stxapp/oracle/client/product/12.2.0/client_1/jdk/jre/lib/rt.jar)",,,,
Vulnerability item,NXP-5894613,5517654,2618573.0,usr8c027,Risk Covered,,Resolved,19/Apr/2026 12:19 AM,15/Apr/2025 12:00 AM,5c9c1b35.internal,"Java CPU April 2024 Oracle Java SE, Oracle GraalVM Enterprise Edition vulnerability (CVE-2017-92784)",4cee6c5b.internal,0,jre-vuln-CVE-2017-68001,"Vulnerable OS: Red Hat Enterprise Linux 8.10


Vulnerable software installed: Oracle JRE 1.8.0.91 (/stxbase/stxapp/oracle/client/product/12.2.0/client_1/jdk/jre/lib/rt.jar)",,,,
Vulnerability item,NXP-8642654,1841925,2618573.0,usr8c027,Risk Covered,,Resolved,19/Apr/2026 12:19 AM,15/Apr/2025 12:00 AM,5c9c1b35.internal,"Java CPU January 2017 Java SE, Java SE Embedded, JRockit RMI vulnerability (CVE-2009-90190)",4cee6c5b.internal,0,jre-vuln-CVE-2009-81041,"Vulnerable OS: Red Hat Enterprise Linux 8.10


Vulnerable software installed: Oracle JRE 1.8.0.91 (/stxbase/stxapp/oracle/client/product/12.2.0/client_1/jdk/jre/lib/rt.jar)",,,,
Vulnerability item,NXP-5935135,6215661,3619920.0,usr8c027,Risk Covered,,Resolved,19/Apr/2026 12:19 AM,15/Apr/2025 12:00 AM,ceca5996.internal,"Java CPU April 2024 Oracle Java SE, Oracle GraalVM Enterprise Edition vulnerability (CVE-2017-92784)",d8f23eed.internal,0,jre-vuln-CVE-2017-68001,"Vulnerable OS: Red Hat Enterprise Linux 8.10


Vulnerable software installed: Oracle JRE 1.8.0.91 (/stxbase/stxapp/oracle/client/product/12.2.0/client_1/jdk/jre/lib/rt.jar)",,,,
